user_id,survey_type,response
28232,Finance,Neutral
10107,Sports,No
14690,Finance,Neutral
23672,Politics,Neutral
14632,Finance,No
16303,Sports,Yes
5347,Fashion,Yes
975,Travel,Neutral
9258,Fashion,No
11612,Sports,Neutral
5891,Technology,Yes
5638,Politics,No
28295,Finance,Yes
25703,Travel,Neutral
16920,Technology,No
14502,Travel,Neutral
1263,Technology,Yes
9167,Travel,Neutral
15926,Finance,Yes
27322,Travel,Neutral
29391,Technology,Neutral
1199,Technology,Yes
22731,Travel,Neutral
21256,Fashion,No
7260,Technology,No
19452,Technology,Neutral
2605,Technology,Neutral
20549,Sports,Yes
22896,Technology,No
1121,Fashion,Neutral
25956,Technology,Yes
7333,Travel,Yes
10459,Fashion,No
24584,Fashion,No
21905,Politics,Yes
16254,Technology,No
27345,Technology,Neutral
7027,Sports,Yes
29259,Finance,No
9275,Sports,Yes
13560,Technology,Yes
9064,Technology,Yes
29937,Fashion,Yes
25021,Finance,Neutral
8630,Politics,Neutral
20249,Sports,No
16264,Travel,Neutral
13351,Fashion,Yes
12932,Finance,Neutral
3141,Sports,No
20492,Technology,No
19533,Technology,Neutral
18779,Technology,Neutral
4974,Politics,Yes
8523,Travel,Yes
9840,Travel,Neutral
17406,Travel,Yes
4814,Politics,Yes
24604,Technology,Yes
29699,Sports,Neutral
302,Sports,Neutral
13148,Technology,Yes
29268,Politics,No
29800,Travel,No
21538,Technology,Yes
392,Technology,Yes
6135,Politics,No
6691,Sports,Yes
28368,Technology,No
3048,Travel,Yes
15796,Technology,Neutral
24938,Technology,Yes
1859,Fashion,Yes
24107,Fashion,No
20169,Politics,Yes
9143,Fashion,Neutral
7125,Finance,No
25739,Fashion,Yes
4968,Sports,Neutral
13971,Technology,No
8246,Finance,Yes
25037,Sports,Yes
26646,Sports,Neutral
849,Finance,Neutral
21961,Politics,Yes
26499,Fashion,No
14156,Fashion,Neutral
27295,Travel,No
11607,Sports,Neutral
22017,Finance,Yes
8102,Travel,No
18803,Finance,Yes
6097,Travel,Yes
11226,Travel,Neutral
22639,Finance,Neutral
18786,Politics,Neutral
5200,Finance,Yes
10432,Finance,Yes
7993,Finance,No
15055,Travel,No
25790,Travel,No
15855,Technology,Yes
12751,Finance,No
8213,Travel,Neutral
18386,Fashion,No
13486,Technology,Neutral
19765,Finance,Yes
12676,Technology,Yes
17510,Politics,Neutral
29283,Technology,No
15751,Sports,Yes
23141,Technology,Yes
1358,Sports,Neutral
24865,Sports,No
12281,Fashion,Yes
13186,Politics,No
26319,Technology,Neutral
5716,Politics,Yes
3783,Fashion,Neutral
22982,Sports,Neutral
8161,Travel,Yes
26856,Sports,No
3862,Technology,Neutral
9810,Technology,Yes
19630,Fashion,No
2295,Technology,Yes
26978,Sports,Yes
8928,Finance,Yes
27400,Sports,Neutral
27478,Sports,Neutral
27107,Sports,Yes
5011,Travel,Neutral
29932,Fashion,No
9330,Travel,Neutral
19767,Politics,Neutral
10823,Technology,Neutral
4274,Sports,Yes
1163,Sports,Yes
20574,Technology,Neutral
12475,Finance,Neutral
4389,Politics,No
4838,Fashion,No
2110,Sports,Yes
22306,Finance,No
4387,Politics,Neutral
11416,Fashion,No
7624,Finance,Neutral
19366,Sports,Neutral
4112,Finance,Neutral
2530,Technology,Neutral
11938,Travel,No
15909,Technology,Neutral
29471,Sports,Yes
15280,Travel,Yes
15642,Sports,No
29413,Sports,Neutral
149,Fashion,Yes
27125,Fashion,Yes
20516,Technology,Yes
26703,Fashion,Yes
17054,Sports,Yes
4878,Sports,Yes
26170,Fashion,Yes
16631,Technology,Neutral
10065,Politics,Neutral
8770,Sports,No
6778,Technology,No
10834,Technology,Neutral
14670,Technology,Yes
14839,Travel,No
22728,Sports,No
29825,Fashion,Neutral
1777,Politics,No
28682,Politics,Yes
21563,Fashion,Neutral
23282,Sports,Neutral
2545,Travel,Neutral
2699,Travel,Neutral
18725,Sports,Neutral
12359,Travel,No
14826,Politics,Yes
423,Travel,No
8004,Sports,Yes
18449,Politics,No
8200,Travel,No
14341,Travel,Yes
14508,Fashion,Neutral
24555,Technology,Yes
2541,Travel,Yes
223,Politics,Yes
2718,Finance,Neutral
9013,Fashion,Neutral
13650,Technology,Yes
2137,Travel,Yes
20599,Technology,No
26249,Travel,Neutral
10513,Technology,Yes
24363,Finance,Yes
27031,Sports,Yes
2335,Travel,Yes
17958,Sports,No
6873,Travel,No
23408,Technology,Yes
28308,Travel,Neutral
18881,Politics,Neutral
20974,Sports,Neutral
20836,Travel,Yes
29735,Sports,No
2021,Politics,No
17507,Politics,Neutral
24840,Travel,Yes
11433,Fashion,Yes
26776,Finance,Yes
8610,Politics,Yes
11871,Sports,No
29223,Technology,Yes
697,Sports,No
10829,Politics,Yes
29058,Finance,Yes
25956,Fashion,No
23467,Travel,Neutral
3495,Sports,Neutral
19273,Sports,Neutral
18978,Travel,Yes
19149,Finance,Neutral
7197,Politics,No
20524,Sports,No
11485,Travel,No
26680,Travel,Yes
21760,Fashion,Neutral
20794,Finance,No
7951,Fashion,No
173,Fashion,Yes
718,Fashion,Neutral
22774,Politics,Neutral
20909,Fashion,No
8998,Fashion,Neutral
21082,Finance,Yes
9485,Travel,Neutral
1881,Fashion,Neutral
1463,Fashion,Yes
6013,Technology,Yes
6291,Technology,No
25335,Politics,Neutral
6657,Fashion,No
12164,Technology,Yes
9282,Travel,Neutral
21429,Sports,Yes
18925,Fashion,Neutral
20279,Sports,Neutral
9878,Fashion,Neutral
16910,Politics,No
21156,Travel,No
14890,Finance,Yes
1318,Finance,Yes
29992,Fashion,No
3400,Politics,Neutral
10832,Sports,No
7078,Sports,Neutral
17181,Sports,No
6550,Travel,Neutral
8552,Travel,Yes
4604,Fashion,No
27823,Travel,Neutral
21829,Sports,No
7726,Sports,Neutral
19680,Technology,Neutral
10520,Fashion,Yes
21063,Technology,No
28673,Technology,No
13924,Finance,Yes
2510,Finance,Yes
24453,Sports,Yes
4895,Technology,Yes
27472,Technology,No
17544,Politics,Neutral
20209,Travel,Neutral
26324,Travel,Yes
27127,Technology,No
29611,Travel,Yes
29639,Travel,No
26271,Travel,No
4568,Sports,Neutral
7621,Finance,No
2876,Finance,Yes
838,Travel,Neutral
18442,Travel,No
23810,Sports,No
25770,Sports,No
2297,Sports,Neutral
11732,Finance,No
7567,Technology,Neutral
1904,Sports,No
18538,Politics,Yes
25100,Travel,Yes
7264,Fashion,No
11385,Travel,Neutral
5187,Travel,Yes
14518,Politics,No
21139,Politics,Neutral
16193,Technology,No
29677,Travel,Yes
10522,Sports,No
9898,Technology,Neutral
16608,Travel,No
22929,Technology,Yes
28090,Politics,No
10186,Travel,No
24749,Fashion,Neutral
9500,Finance,Neutral
24390,Finance,Yes
21014,Technology,No
26667,Technology,No
26483,Politics,Neutral
13833,Technology,Yes
10545,Finance,Neutral
497,Fashion,No
23088,Travel,Neutral
26359,Sports,Yes
12431,Fashion,Neutral
12168,Sports,Yes
17253,Politics,Neutral
239,Politics,Neutral
26392,Travel,Neutral
5865,Politics,No
10383,Politics,No
16264,Travel,Yes
15329,Travel,No
16458,Politics,Neutral
4353,Travel,Yes
29792,Technology,Neutral
22640,Travel,Yes
19302,Fashion,No
16666,Technology,Yes
4172,Sports,Yes
17320,Travel,No
14557,Sports,No
25647,Politics,Neutral
5300,Sports,Yes
27853,Sports,No
25905,Travel,No
918,Finance,Neutral
16584,Politics,Yes
18947,Fashion,No
23554,Travel,No
18524,Travel,No
23988,Finance,No
919,Technology,No
17719,Politics,No
25875,Technology,No
6075,Finance,No
26482,Politics,Neutral
1005,Finance,Yes
10472,Technology,Yes
27696,Politics,Yes
12295,Sports,Yes
13377,Technology,Neutral
25063,Politics,Neutral
26906,Technology,No
27224,Sports,Yes
2054,Finance,No
26589,Finance,Neutral
16211,Politics,No
16159,Fashion,No
15400,Technology,No
10175,Travel,Yes
11438,Sports,Yes
10176,Politics,No
21615,Finance,Yes
29701,Sports,Yes
25935,Technology,Neutral
12416,Travel,Neutral
13511,Sports,Yes
15137,Politics,Neutral
8322,Politics,No
6653,Sports,No
28066,Technology,No
16160,Finance,No
3331,Politics,Yes
14623,Politics,Neutral
4382,Finance,Yes
23527,Politics,Yes
12524,Politics,No
25838,Politics,No
18233,Sports,Neutral
10918,Finance,Yes
2264,Travel,Yes
12062,Fashion,Yes
4799,Fashion,Yes
11905,Fashion,Neutral
1437,Politics,Neutral
6540,Technology,Yes
18348,Technology,Yes
9900,Politics,Yes
7662,Technology,No
9478,Travel,No
18663,Sports,No
19912,Technology,Yes
240,Travel,Yes
14610,Travel,No
28525,Technology,No
28427,Fashion,No
16005,Travel,No
9333,Fashion,Neutral
15787,Sports,Neutral
4544,Sports,Neutral
24279,Technology,Neutral
2894,Travel,Yes
16240,Politics,Yes
13399,Technology,Yes
26804,Sports,Neutral
7179,Travel,Neutral
11228,Sports,No
2373,Travel,Yes
11726,Travel,Neutral
4617,Politics,Yes
25686,Fashion,Neutral
7884,Finance,No
20397,Politics,No
14899,Sports,Neutral
28659,Technology,Neutral
11672,Fashion,Yes
23740,Finance,No
2481,Politics,Yes
512,Travel,No
8525,Technology,Neutral
12030,Sports,Neutral
12171,Finance,Neutral
24112,Finance,Neutral
29729,Finance,Neutral
28466,Fashion,Yes
26276,Technology,Neutral
2306,Fashion,Yes
21565,Sports,Neutral
8750,Politics,Yes
28874,Politics,Yes
5640,Technology,Neutral
22436,Technology,No
14801,Technology,Neutral
3163,Fashion,Neutral
6760,Travel,No
11778,Politics,Yes
10920,Finance,No
24631,Travel,Yes
27215,Travel,No
11455,Technology,Neutral
22117,Finance,Neutral
1682,Politics,Yes
3800,Fashion,Neutral
23711,Finance,No
17116,Technology,Yes
23544,Politics,Neutral
21947,Fashion,Neutral
18040,Travel,No
23287,Sports,No
3474,Finance,Neutral
3095,Fashion,No
10531,Sports,No
8231,Travel,Neutral
13434,Finance,Yes
19040,Politics,Yes
13577,Sports,No
16300,Travel,Yes
12790,Travel,Neutral
23717,Sports,Yes
12926,Fashion,No
7190,Finance,No
22911,Finance,No
14263,Technology,Yes
25817,Politics,Yes
6203,Fashion,Yes
7435,Finance,Yes
3558,Technology,Yes
8825,Travel,Yes
28067,Sports,Neutral
355,Technology,Neutral
9891,Fashion,No
2775,Fashion,No
3259,Fashion,No
12984,Politics,Yes
16995,Fashion,Neutral
14993,Technology,No
27626,Travel,Neutral
14290,Technology,No
24975,Technology,Yes
7526,Technology,No
17896,Fashion,Yes
23609,Sports,Neutral
26523,Finance,Neutral
26309,Finance,No
16668,Travel,Neutral
13159,Travel,Yes
1209,Sports,No
2592,Travel,Yes
16173,Fashion,No
26051,Travel,No
2395,Politics,Neutral
13194,Travel,Yes
8130,Technology,No
20748,Politics,Yes
18536,Finance,Neutral
28639,Technology,Neutral
20531,Technology,No
28691,Politics,Neutral
7096,Finance,Neutral
23705,Finance,Neutral
10418,Politics,No
7733,Technology,No
24257,Technology,Neutral
17982,Fashion,Yes
9657,Sports,No
7899,Sports,Yes
8252,Technology,Yes
4018,Fashion,Neutral
8204,Politics,No
2956,Finance,Yes
9817,Politics,No
3100,Politics,Neutral
4048,Travel,No
24663,Fashion,Yes
28257,Politics,Yes
8212,Technology,No
9584,Technology,No
1585,Sports,Neutral
8750,Finance,Neutral
24074,Sports,Neutral
10188,Politics,Yes
6137,Finance,Yes
25563,Technology,No
27070,Finance,No
11272,Sports,Yes
27356,Finance,Yes
5257,Sports,No
28960,Travel,Yes
13164,Finance,No
9179,Politics,Neutral
27627,Travel,Yes
16664,Finance,Yes
3296,Travel,No
9256,Technology,Yes
5738,Fashion,Neutral
3870,Fashion,Yes
19709,Technology,No
26964,Fashion,Neutral
25841,Finance,No
3704,Finance,No
17515,Fashion,No
10785,Technology,Neutral
6088,Sports,Neutral
1581,Sports,No
17336,Sports,Neutral
810,Fashion,Neutral
21807,Finance,Yes
17475,Technology,Yes
24463,Travel,Neutral
5623,Technology,Yes
19597,Politics,No
11075,Technology,No
7401,Travel,No
14149,Technology,Neutral
21347,Sports,No
1405,Sports,Neutral
24288,Technology,Neutral
25411,Sports,Yes
27525,Sports,No
17151,Technology,No
15603,Fashion,Neutral
23972,Fashion,Yes
15276,Sports,Neutral
5056,Travel,No
1982,Sports,No
7230,Finance,No
15252,Technology,No
15227,Finance,No
29845,Technology,Neutral
3499,Fashion,No
23886,Politics,Yes
25371,Finance,Yes
16223,Fashion,Yes
11973,Technology,No
23557,Sports,Yes
27643,Politics,Neutral
10099,Fashion,Yes
3445,Fashion,No
17689,Sports,Neutral
22730,Sports,Yes
11943,Technology,Yes
10927,Politics,Yes
16363,Finance,Yes
17591,Finance,Yes
20474,Fashion,Yes
19744,Sports,Yes
4840,Fashion,Yes
13884,Travel,Yes
28445,Travel,Yes
26068,Sports,Neutral
18804,Politics,Neutral
11645,Politics,Yes
16885,Politics,Yes
24144,Travel,Yes
17942,Sports,No
12828,Travel,Neutral
8721,Sports,Yes
12817,Sports,No
10569,Finance,Yes
14042,Politics,Yes
10487,Finance,Yes
10006,Technology,Yes
22849,Finance,No
8949,Finance,Neutral
23810,Politics,Yes
3602,Finance,No
19137,Sports,Yes
23366,Travel,Neutral
8145,Travel,No
29686,Fashion,Yes
27397,Finance,No
1135,Technology,No
5899,Politics,No
22733,Politics,Neutral
9362,Politics,No
6125,Fashion,Neutral
7998,Fashion,Yes
16499,Finance,No
7303,Travel,Yes
6022,Fashion,Neutral
3457,Sports,No
8122,Fashion,No
19582,Technology,Yes
16048,Fashion,Yes
6702,Fashion,Yes
25048,Finance,Neutral
23843,Technology,No
4596,Fashion,No
3791,Technology,Yes
8244,Technology,Yes
21826,Technology,Neutral
17240,Technology,No
5142,Finance,Yes
25034,Sports,No
2974,Politics,Yes
9126,Travel,Yes
9462,Finance,Neutral
1349,Fashion,Neutral
1959,Politics,No
8614,Technology,Yes
12380,Travel,Yes
1305,Travel,No
6767,Politics,Neutral
13105,Fashion,Neutral
14609,Finance,Yes
7780,Fashion,No
4510,Sports,Yes
6904,Travel,Neutral
1239,Fashion,Yes
7267,Fashion,Yes
20620,Travel,No
12608,Finance,No
24894,Sports,No
17482,Fashion,Yes
12752,Sports,No
9430,Technology,Yes
9356,Sports,Yes
4758,Travel,Neutral
28533,Politics,Neutral
10421,Sports,No
13734,Finance,Neutral
17317,Politics,Yes
2735,Finance,Neutral
6108,Finance,No
20361,Technology,Yes
19412,Finance,Yes
26507,Fashion,No
13386,Travel,Yes
653,Technology,Neutral
8181,Finance,Yes
22869,Travel,Neutral
2365,Technology,No
13533,Fashion,Neutral
505,Finance,Yes
9368,Fashion,Neutral
22852,Fashion,No
4226,Fashion,No
20671,Fashion,Yes
13426,Technology,No
26601,Technology,Yes
21618,Technology,Neutral
6347,Travel,Neutral
303,Politics,No
25733,Travel,Yes
17577,Politics,Neutral
26788,Sports,No
12903,Fashion,No
7142,Technology,No
25077,Finance,No
22518,Finance,No
9798,Technology,Neutral
14819,Politics,Yes
9315,Politics,Neutral
3206,Politics,Neutral
28501,Travel,Neutral
12418,Finance,No
18341,Fashion,Yes
6704,Technology,No
6454,Finance,Neutral
1170,Sports,Yes
28526,Politics,Yes
5296,Fashion,No
18491,Finance,Yes
7001,Fashion,No
4058,Travel,Yes
14428,Fashion,Yes
2455,Politics,No
6678,Sports,Neutral
6231,Finance,Neutral
25008,Travel,Neutral
1364,Politics,No
6763,Sports,No
13744,Technology,No
22611,Politics,Yes
9924,Finance,No
29574,Technology,Yes
17585,Technology,No
9435,Travel,Yes
3993,Fashion,Yes
20672,Politics,Neutral
837,Sports,No
16971,Finance,Neutral
1871,Finance,Neutral
6453,Travel,No
944,Finance,Yes
29497,Technology,Yes
19941,Politics,Yes
14216,Technology,No
26084,Sports,Neutral
18733,Fashion,Neutral
20070,Travel,Yes
4542,Technology,Neutral
23040,Finance,No
22477,Politics,Neutral
15589,Sports,Neutral
20091,Technology,Yes
17242,Finance,Neutral
3971,Sports,Yes
23595,Finance,Yes
25230,Travel,No
5646,Finance,Neutral
17667,Politics,Yes
15519,Technology,No
29517,Finance,No
22108,Finance,No
24360,Politics,No
20239,Fashion,Neutral
9274,Fashion,No
6042,Politics,Yes
24809,Technology,No
6960,Travel,No
3748,Technology,Neutral
5823,Fashion,Neutral
13873,Travel,Yes
6316,Fashion,Neutral
14088,Fashion,No
21653,Travel,No
22787,Sports,Neutral
13275,Politics,Yes
909,Fashion,Neutral
29937,Travel,Neutral
28775,Sports,Neutral
21257,Sports,Neutral
21665,Politics,Yes
26970,Politics,No
4994,Politics,No
20552,Technology,No
7785,Fashion,Neutral
3909,Fashion,Neutral
1257,Politics,Yes
10358,Technology,Neutral
3504,Sports,No
7814,Finance,No
4921,Sports,Neutral
4733,Finance,No
28996,Technology,Neutral
8112,Sports,No
18330,Sports,Neutral
15962,Finance,Yes
12054,Politics,Yes
19462,Travel,Yes
685,Sports,Neutral
10765,Finance,Neutral
6557,Fashion,Neutral
24907,Politics,Neutral
4406,Finance,No
11487,Travel,No
17787,Politics,Neutral
14106,Fashion,Yes
7422,Sports,No
12990,Politics,Neutral
13554,Politics,Neutral
7380,Sports,Neutral
10278,Travel,Neutral
6401,Fashion,Neutral
29758,Sports,Neutral
11961,Technology,Yes
25214,Technology,Yes
13688,Sports,Yes
22124,Travel,Yes
6313,Sports,No
24957,Sports,No
3666,Sports,Yes
9846,Technology,Yes
1106,Sports,Yes
10158,Fashion,Yes
12425,Travel,No
3448,Politics,Yes
24892,Politics,Yes
19242,Fashion,Yes
27004,Travel,Yes
13489,Travel,Yes
19695,Sports,Yes
14958,Finance,Neutral
3998,Politics,No
6620,Fashion,Yes
14938,Fashion,No
23378,Finance,Neutral
6754,Finance,No
16853,Travel,Neutral
4929,Politics,No
4000,Sports,No
8264,Fashion,Neutral
20115,Technology,Yes
19016,Fashion,Yes
4014,Sports,No
22623,Politics,No
9041,Fashion,Yes
15793,Travel,Yes
17626,Politics,Yes
10533,Sports,Yes
24651,Travel,Yes
17467,Sports,Neutral
15925,Fashion,No
5524,Finance,No
9189,Technology,Yes
9330,Politics,Neutral
28546,Sports,Yes
3099,Sports,No
16889,Technology,Yes
4815,Finance,No
28396,Sports,No
11993,Technology,Neutral
4509,Politics,Yes
9869,Fashion,No
26477,Sports,No
11810,Politics,Neutral
21111,Fashion,No
10307,Finance,Yes
29395,Finance,No
16852,Finance,Yes
14293,Fashion,Yes
8127,Travel,Neutral
23694,Finance,Neutral
25133,Travel,Yes
1088,Travel,Yes
13085,Politics,Yes
27314,Technology,Yes
28047,Sports,No
25334,Fashion,No
20069,Travel,Yes
2768,Finance,No
7340,Technology,No
8960,Travel,Yes
4447,Fashion,Neutral
15519,Travel,Neutral
17708,Travel,No
25468,Technology,Yes
24067,Sports,Yes
13122,Sports,No
18434,Fashion,Neutral
12496,Fashion,No
7569,Technology,Yes
24618,Politics,No
11071,Fashion,Yes
15248,Politics,No
6691,Politics,Yes
6157,Finance,Yes
11595,Sports,Neutral
18863,Sports,Neutral
25587,Sports,No
15101,Sports,Yes
13310,Finance,No
22325,Sports,No
21221,Finance,Neutral
5521,Sports,Neutral
9956,Travel,No
2136,Travel,Yes
29310,Finance,Neutral
10106,Fashion,No
8821,Fashion,No
22589,Fashion,Yes
26753,Finance,Neutral
3315,Travel,No
9171,Technology,No
11940,Fashion,Yes
17135,Sports,Yes
28768,Finance,Yes
5563,Fashion,Yes
13636,Fashion,No
22036,Finance,No
26291,Politics,Neutral
28954,Travel,Yes
27256,Technology,Neutral
16984,Sports,Yes
16539,Politics,Yes
4583,Politics,No
26707,Travel,Yes
4590,Travel,Neutral
25341,Fashion,No
14091,Technology,No
26822,Travel,Neutral
187,Fashion,No
26355,Finance,No
8284,Travel,Neutral
3989,Travel,No
18491,Finance,No
4011,Politics,Yes
16857,Finance,No
7358,Technology,Neutral
7683,Travel,No
28104,Travel,Yes
9944,Finance,Yes
4775,Fashion,Neutral
17549,Finance,No
11523,Travel,Yes
14556,Politics,Neutral
13344,Sports,Neutral
29583,Technology,Yes
14891,Sports,No
8747,Travel,Yes
19596,Fashion,No
11848,Sports,No
10219,Politics,No
27094,Technology,Neutral
26068,Finance,Neutral
3619,Travel,Neutral
19701,Travel,No
5326,Technology,No
27119,Technology,Yes
13554,Travel,No
19391,Politics,Yes
9867,Sports,Yes
1698,Politics,No
27677,Technology,Yes
12001,Finance,Yes
5715,Politics,Yes
21485,Sports,Yes
17391,Fashion,Neutral
21747,Fashion,Yes
4653,Sports,No
12791,Technology,Yes
13541,Travel,Neutral
6024,Fashion,No
21358,Politics,Yes
6955,Finance,Yes
3112,Politics,No
29898,Finance,Neutral
6111,Technology,Yes
3040,Technology,Yes
8786,Travel,No
6077,Sports,Yes
20455,Fashion,Neutral
18619,Technology,Neutral
18850,Fashion,Yes
17936,Finance,Yes
25997,Travel,Yes
11702,Fashion,No
8568,Politics,Yes
3811,Technology,No
10591,Fashion,Neutral
17971,Politics,Yes
29613,Travel,Neutral
26904,Travel,Yes
11829,Finance,No
23516,Sports,No
3960,Technology,No
28397,Technology,No
5756,Technology,Yes
8266,Sports,Neutral
4764,Politics,Yes
11302,Sports,Neutral
6978,Sports,Yes
6803,Politics,No
28601,Fashion,No
18481,Politics,Neutral
27483,Finance,No
7931,Technology,Yes
10688,Politics,Yes
29227,Sports,Neutral
18692,Politics,Neutral
9408,Travel,No
8064,Politics,Yes
27870,Sports,Neutral
21419,Travel,Yes
18760,Travel,Yes
14941,Sports,Neutral
7599,Travel,No
8134,Technology,Yes
18809,Fashion,No
13480,Politics,Neutral
25804,Sports,Yes
12963,Finance,Neutral
1255,Travel,Neutral
21999,Politics,No
14252,Politics,Yes
1472,Politics,Yes
14442,Travel,No
26960,Finance,Yes
6174,Fashion,Neutral
29265,Sports,Neutral
29199,Sports,No
21078,Fashion,Yes
4909,Finance,No
26494,Fashion,Neutral
5993,Technology,Neutral
28984,Sports,No
18704,Politics,Yes
19176,Technology,No
19502,Travel,No
16675,Technology,No
9730,Sports,Yes
27880,Politics,Yes
15119,Fashion,No
3275,Travel,Neutral
28941,Politics,Yes
14221,Politics,Neutral
3858,Technology,Yes
24979,Fashion,No
16187,Sports,Neutral
1949,Politics,No
24884,Sports,No
25024,Finance,Neutral
5729,Travel,No
21054,Technology,No
21544,Technology,No
29749,Finance,Neutral
14242,Technology,Neutral
22956,Sports,No
17051,Politics,Yes
20813,Travel,Yes
18420,Technology,Yes
22694,Politics,Yes
8422,Fashion,No
7881,Politics,Neutral
10988,Finance,No
21504,Fashion,Neutral
24201,Finance,Yes
2517,Finance,Neutral
3430,Politics,Neutral
9382,Fashion,No
11469,Finance,Yes
27374,Politics,Neutral
27779,Technology,Yes
20620,Politics,Neutral
1733,Fashion,No
17144,Travel,No
2696,Sports,Yes
9988,Sports,Neutral
26140,Sports,No
7922,Sports,Yes
9046,Politics,Yes
958,Fashion,Neutral
7755,Fashion,No
23892,Fashion,Neutral
17632,Finance,No
10019,Sports,Neutral
14799,Technology,No
22204,Finance,Neutral
21733,Technology,No
29066,Sports,Neutral
21122,Fashion,Neutral
17671,Fashion,Neutral
8225,Politics,Yes
19047,Finance,Neutral
11624,Sports,No
8503,Fashion,No
14632,Sports,No
6074,Politics,Yes
21525,Finance,No
7873,Technology,Neutral
1464,Sports,No
13484,Technology,Yes
13380,Politics,No
22220,Fashion,Neutral
12225,Fashion,No
27935,Finance,Yes
29252,Sports,Neutral
18608,Finance,Yes
21007,Fashion,Yes
16013,Fashion,Neutral
17245,Technology,No
24663,Politics,Yes
18924,Travel,Yes
18585,Finance,No
20759,Politics,No
20276,Technology,Yes
14619,Technology,Yes
2737,Sports,No
7021,Technology,No
28287,Technology,Neutral
14722,Travel,Yes
8641,Politics,Yes
7534,Finance,Neutral
8262,Travel,Neutral
14312,Politics,Neutral
5329,Sports,Yes
17122,Sports,Yes
27227,Sports,Neutral
11817,Sports,Neutral
21085,Sports,No
18830,Travel,Neutral
29759,Travel,No
15987,Technology,Yes
29915,Finance,Yes
7206,Travel,No
17488,Travel,Neutral
11887,Fashion,No
9638,Travel,Neutral
27730,Travel,No
21126,Fashion,No
24191,Fashion,Yes
6653,Technology,No
3467,Finance,No
25054,Politics,No
7320,Fashion,Neutral
22675,Travel,Yes
16865,Technology,Yes
23387,Politics,No
5622,Fashion,No
22844,Finance,Yes
13775,Travel,No
26200,Finance,No
5372,Politics,Neutral
29737,Fashion,Neutral
534,Travel,Neutral
13561,Travel,Neutral
19885,Travel,No
9623,Technology,Yes
29505,Politics,Neutral
17855,Sports,Neutral
9297,Technology,No
25125,Politics,No
8742,Technology,Neutral
28016,Travel,No
20168,Technology,Neutral
22743,Politics,Neutral
25213,Finance,No
2673,Technology,Neutral
27648,Travel,No
15872,Technology,Neutral
11839,Fashion,Yes
17639,Politics,Yes
28203,Technology,No
8565,Sports,No
4279,Politics,Yes
19879,Travel,No
27129,Travel,No
5648,Technology,Neutral
14068,Travel,Yes
10506,Finance,No
5069,Politics,Yes
13142,Politics,Yes
8581,Fashion,Neutral
22036,Sports,Neutral
74,Finance,No
534,Finance,Yes
4510,Travel,No
23650,Finance,Yes
18508,Politics,No
27288,Technology,No
22194,Travel,Neutral
2807,Travel,Yes
1279,Finance,Neutral
21588,Politics,Yes
14299,Technology,Neutral
13436,Travel,Neutral
19905,Finance,Neutral
21480,Technology,Neutral
11707,Finance,Neutral
29790,Sports,No
15178,Sports,Yes
28018,Finance,Yes
16993,Technology,Yes
29512,Sports,Yes
16887,Sports,Yes
860,Technology,No
26136,Finance,Yes
27170,Sports,Neutral
6345,Finance,No
